,Area,Size,Rent,Manhattan,Queens,Brooklyn,Bronx,Staten Island,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,One Bathrooms,Two Bathrooms,Three Bathrooms,Four Bathrooms
279,2,1075,3600,1,0,0,0,0,0,0,1,0,0,0,0,0
280,3,950,2475,1,0,0,0,0,0,0,1,0,0,0,0,0
281,7,999,2795,1,0,0,0,0,0,0,1,0,0,0,0,0
282,89,1012,2900,1,0,0,0,0,0,0,1,0,0,0,0,0
283,9,950,2500,1,0,0,0,0,0,0,1,0,0,0,0,0
284,10,1150,3590,1,0,0,0,0,0,0,1,0,0,0,0,0
285,90,825,2250,1,0,0,0,0,0,0,1,0,0,0,0,0
286,14,850,2400,1,0,0,0,0,0,0,1,0,0,0,0,0
287,16,875,3300,1,0,0,0,0,0,0,1,0,0,0,0,0
288,17,899,3450,1,0,0,0,0,0,0,1,0,0,0,0,0
289,1,975,3800,1,0,0,0,0,0,0,1,0,0,0,0,0
290,19,912,2922,1,0,0,0,0,0,0,1,0,0,0,0,0
291,1,1240,5900,1,0,0,0,0,0,0,1,0,0,0,0,0
292,20,1112,4220,1,0,0,0,0,0,0,1,0,0,0,0,0
293,21,1222,5487,1,0,0,0,0,0,0,1,0,0,0,0,0
294,22,1212,4945,1,0,0,0,0,0,0,1,0,0,0,0,0
295,23,1000,3000,1,0,0,0,0,0,0,1,0,0,0,0,0
296,1,975,2892,1,0,0,0,0,0,0,1,0,0,0,0,0
297,25,1012,4300,1,0,0,0,0,0,0,1,0,0,0,0,0
298,26,1060,3798,1,0,0,0,0,0,0,1,0,0,0,0,0
299,27,1102,7250,1,0,0,0,0,0,0,1,0,0,0,0,0
300,91,1012,3703,1,0,0,0,0,0,0,1,0,0,0,0,0
301,2,999,3600,1,0,0,0,0,0,0,1,0,0,0,0,0
302,4,1050,4581,1,0,0,0,0,0,0,1,0,0,0,0,0
303,29,800,2300,1,0,0,0,0,0,0,1,0,0,0,0,0
304,92,812,2383,1,0,0,0,0,0,0,1,0,0,0,0,0
305,30,1040,4600,1,0,0,0,0,0,0,1,0,0,0,0,0
306,31,975,2300,0,1,0,0,0,0,0,1,0,0,0,0,0
307,94,950,2275,0,1,0,0,0,0,0,1,0,0,0,0,0
308,48,850,1999,0,1,0,0,0,0,0,1,0,0,0,0,0
309,45,925,2250,0,1,0,0,0,0,0,1,0,0,0,0,0
310,47,945,2342,0,1,0,0,0,0,0,1,0,0,0,0,0
311,42,960,2300,0,1,0,0,0,0,0,1,0,0,0,0,0
312,43,920,2174,0,1,0,0,0,0,0,1,0,0,0,0,0
313,44,1012,2500,0,1,0,0,0,0,0,1,0,0,0,0,0
314,95,890,1975,0,1,0,0,0,0,0,1,0,0,0,0,0
315,40,975,2362,0,1,0,0,0,0,0,1,0,0,0,0,0
316,96,1075,2575,0,1,0,0,0,0,0,1,0,0,0,0,0
317,38,1024,2100,0,1,0,0,0,0,0,1,0,0,0,0,0
318,97,1100,2075,0,1,0,0,0,0,0,1,0,0,0,0,0
319,39,1124,4231,0,1,0,0,0,0,0,1,0,0,0,0,0
320,98,912,1998,0,1,0,0,0,0,0,1,0,0,0,0,0
321,135,924,2200,0,1,0,0,0,0,0,1,0,0,0,0,0
322,37,899,2100,0,1,0,0,0,0,0,1,0,0,0,0,0
323,46,912,2400,0,1,0,0,0,0,0,1,0,0,0,0,0
324,37,924,2300,0,1,0,0,0,0,0,1,0,0,0,0,0
325,35,936,2400,0,1,0,0,0,0,0,1,0,0,0,0,0
